ad_id,image,title,description,plz,district,posted_at
1601282359,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/VWIAAOSws19f1O7u/$_2.JPG,Großes Bild 110mx80 cm,Großes Bild 110mx80 cm,10365,Lichtenberg,"Heute, 17:27"
1601281612,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/QqkAAOSwdq5f1O7L/$_2.JPG,Küchentisch weiß furniert + zwei hellgrüne Küchenstühle,Ich verschenke einen Küchentisch Holz weiß furniert + zwei hellgrüne Küchenstühle Sitzfläche aus...,10365,Lichtenberg,"Heute, 17:27"
1601203501,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/OU0AAOSwCKxf1OFG/$_2.JPG,Spülmaschine *zu verschenken* IKEA,"Verschenke eine Spülmaschine von IKEA
Die Spülmaschine ist ca. 10 Jahre alt, aber voll...",10365,Lichtenberg,"Heute, 17:27"
1601281092,,Dip Barren / Station oder andere Fitness geräte,Würde mich freuen wenn jemand was anzubieten hat,10365,Lichtenberg,"Heute, 17:26"
1601281312,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/4EcAAOSwoS9f1Oni/$_2.JPG,Gelnägelset,Verschenke altes gelnägel Set. Gerade im Keller gefunden. Keine Ahnung ob es noch funktioniert ...,10365,Lichtenberg,"Heute, 17:26"
1601281041,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/uDYAAOSwBPZf1O80/$_2.JPG,Schreibtisch Bürotisch mit Container zu verschenken,"Bürotisch, Schreibtisch
Sehr guter Zustand
Der Container hat einen Schlüssel, aber nicht...",10365,Lichtenberg,"Heute, 17:26"
1601280122,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/vxMAAOSwkdpf1O68/$_2.JPG,Kinderbett 140cm,"Bett ist in Ordnung.
Ohne Rausfallschutz.
Gern auch mit Matratze.
Für Selbstabholer",10365,Lichtenberg,"Heute, 17:25"
1601279524,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/e48AAOSwhvlf1O1R/$_2.JPG,"Kiste mit allerlei Spielfiguren, Puzzle und Buch",Verschenke diese Kiste mit allerlei Figuren und z.t. Nie benutzten plüschtieren. Wird nur komplett...,10365,Lichtenberg,"Heute, 17:25"
1601278132,https://i.ebayimg.com/00/s/MTYwMFg3NTc=/z/s8IAAOSwv4xf1O6R/$_2.JPG,Waschmaschine,Nicht mehr die schönste aber vollfunktionsfähig,10365,Lichtenberg,"Heute, 17:24"
1601277822,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/bDYAAOSwHeVf1O5k/$_2.JPG,Bürostuhl schwarz,Bürostuhl zu verschenken,10365,Lichtenberg,"Heute, 17:24"
1601276091,https://i.ebayimg.com/00/s/NzM4WDE2MDA=/z/0z4AAOSwQaBf1Onk/$_2.JPG,Antike Sidebord mit 2x Fernseher  zu Verschenken,Antikes Sideboard mit 2x Fernseher zu verschenken die Fernseher Funktionieren einwandfrei mit...,10365,Lichtenberg,"Heute, 17:22"
1601275311,,2 Matrazen 80 x 200cm (z.B. für IKEA HEMNES Ausziehbett),"Hallo,
wir bieten 2 IKEA-Schaummatrazen in gutem gebrauchten Zustand, stets mit Milbenbezug und...",10365,Lichtenberg,"Heute, 17:22"
1601275245,https://i.ebayimg.com/00/s/MTA2MlgxNjAw/z/8I4AAOSw1Ylf1O1A/$_2.JPG,Playmobil Wal + Delphin + Zaun zu verschenken,"Die beiden Tiere sehen schon etwas mitgenommen aus, dürften sich daher aber besonders für einen...",10365,Lichtenberg,"Heute, 17:21"
1601152662,https://i.ebayimg.com/00/s/MTAyNFg3Njg=/z/VMsAAOSw9BBf1NhW/$_2.JPG,Kuscheltier Hund Xxl zu verschenken,"Grosser Kuschelhund abzugeben.
Zu verschenken

Tier und rauchfreier Haushalt",10365,Lichtenberg,"Heute, 17:21"
1601273965,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/W84AAOSwl3xf1O2S/$_2.JPG,Küchen Arbeitsplatz,Küchen Arbeitsplatz 200x60x4 cm zu verschenken.,10365,Lichtenberg,"Heute, 17:20"
1601273653,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/choAAOSwOERf1O3E/$_2.JPG,Schrank zu verschenken,"Schrank hat einige Gebrauchsspuren an allen Seiten, ist aber weiterhin benutzbar. Abholung ist im...",10365,Lichtenberg,"Heute, 17:20"
1601272554,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/BQ0AAOSwgwNf1O1H/$_2.JPG,Drei Schwarze Küchenstühle zu verschenken!,"Die Stühle sind nicht mehr neu, aber in einem guten Zustand.",10365,Lichtenberg,"Heute, 17:19"
1601272181,https://i.ebayimg.com/00/s/OTAzWDE2MDA=/z/jeQAAOSwOMxf1O2u/$_2.JPG,Pioneer CD Player. PD - 107,"Pioneer PD-107 CD Player

Liest keine Sicherheitskopien!",10365,Lichtenberg,"Heute, 17:19"
1601271731,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/2G8AAOSwQ3Ff1Owc/$_2.JPG,Esstisch mit weißer Glasplatte,"***Esstisch zu verschenken***
Der Esstisch hat die Maße 1,60 m x 1,30 m. Er kann noch auf 2,30 m...",10365,Lichtenberg,"Heute, 17:19"
1601270948,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/uVQAAOSwB7pf1O0O/$_2.JPG,2x Stahlregal zu verschenken. Abholung am Sonntag,Aufgrund eines Umzugs verschenke ich dieses nützliche Metalregal das in meinem trockenen Keller...,10365,Lichtenberg,"Heute, 17:18"
1601270700,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/tHYAAOSw-JRf1O0S/$_2.JPG,Rowenta Staubsauger + Zubehör 1400Watt Bastler,Alter Staubsauger funktioniert sollte aber mal überholt werden bevor man daran denkt ihn einsetzten...,10365,Lichtenberg,"Heute, 17:18"
1601269584,https://i.ebayimg.com/00/s/MTIwMFgxNjAw/z/rWMAAOSwr15f1O0C/$_2.JPG,Kosmetikprodukte zu verschenken,Siehe Bild,10365,Lichtenberg,"Heute, 17:17"
1601269006,https://i.ebayimg.com/00/s/MTYwMFg5ODg=/z/7hIAAOSwKj1f1Oq5/$_2.JPG,Betonreceycling,"Mehr bestellt als verbraucht!
Jetzt hab ich ca. Zwei Kubikmeter Betonrecycling zu viel und weiß...",10365,Lichtenberg,"Heute, 17:17"
1601268972,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/EcIAAOSw6odf1Oze/$_2.JPG,IKEA Regal Metall Regal Keller,"Gerne schnell abholen. Hat unten einen Salzfleck, sonst in guten Zustand",10365,Lichtenberg,"Heute, 17:17"
1601268519,https://i.ebayimg.com/00/s/MTYwMFgxMjAw/z/nggAAOSwDiZf1Oyo/$_2.JPG,Geräumiger IKEA Schrank zu verschenken. Abholung Sonntag,"Aufgrund eines Umzugs verschenke ich diesen Schrank der in meinem trockenen Keller stand.

Abholung...",10365,Lichtenberg,"Heute, 17:16"
